params0,params1,params2,params3,params4,params5,params6,params7,params8,params9,params10,params11,params12,params13,params14,params15,params16,params17,params18,params19,params20,params21,params22,params23,params24,params25,params26,params27,params28,params29,params30,params31,params32,params33,params34,params35,params36,params37,params38,params39,params40,params41,params42,params43,params44,params45,params46,params47,params48,params49,params50,params51,params52,params53,params54,params55,params56,params57,params58,params59,params60,params61,params62,params63,params64,params65,params66,params67,params68,params69,params70,params71,params72,params73,params74,params75,params76,params77,params78,params79,params80,params81,params82,params83,params84,params85,params86,params87,params88,params89,params90,params91,params92,params93,params94,params95,params96,params97,params98,params99
1,0,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2
1,0,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0,2,2,1,0,0,2,1,1,0
1,1,0,0,0,1,1,1,2,2,2,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1
1,1,1,1,1,2,2,2,0,0,0,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2
1,1,2,2,2,0,0,0,1,1,1,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0
1,2,0,1,2,1,2,0,2,0,1,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2
1,2,1,2,0,2,0,1,0,1,2,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0
1,2,2,0,1,0,1,2,1,2,0,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1,2,2,0,1,1,2,0,0,1
2,0,0,1,2,2,0,1,1,2,0,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0
2,0,1,2,0,0,1,2,2,0,1,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1
2,0,2,0,1,1,2,0,0,1,2,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2,0,2,0,1,0,1,2,1,2
2,1,0,2,1,2,1,0,1,0,2,0,2,1,1,0,2,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1
2,1,1,0,2,0,2,1,2,1,0,1,0,2,2,1,0,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2
2,1,2,1,0,1,0,2,0,2,1,2,1,0,0,2,1,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0,2,0,2,1,2,1,0,1,0
2,2,0,0,0,2,2,2,1,1,1,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2
2,2,1,1,1,0,0,0,2,2,2,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0
2,2,2,2,2,1,1,1,0,0,0,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1
0,1,0,0,1,1,2,2,1,2,1,2,1,2,2,0,0,0,0,1,1,2,0,0,1,2,2,1,0,2,1,0,0,2,1,1,0,2,1,2,1,2,1,2,0,2,1,0,0,0,1,0,0,2,1,0,2,1,2,0,2,1,1,0,2,1,2,1,2,0,2,0,1,1,0,0,0,1,1,0,2,2,0,2,1,2,0,2,1,1,0,2,1,2,1,2,0,2,0,1
0,1,0,0,2,2,0,0,2,1,2,1,2,0,0,2,1,1,1,2,2,0,1,0,2,0,2,1,0,1,2,2,1,0,1,0,2,1,0,1,2,0,2,0,1,0,2,1,0,1,2,1,2,2,1,0,0,2,1,1,0,0,0,2,1,2,1,0,0,2,1,1,0,2,1,0,2,2,0,2,2,1,0,0,2,1,1,1,0,0,2,1,2,1,0,0,2,1,1,0
1,1,0,1,0,0,1,0,0,2,0,2,2,1,2,1,1,2,0,2,0,0,2,1,0,2,1,2,1,1,1,1,2,1,0,2,0,2,2,2,0,1,0,1,1,1,0,1,2,2,0,2,2,0,2,1,2,0,0,2,1,2,2,0,2,0,1,1,1,2,0,1,2,0,1,2,2,0,0,1,0,1,1,2,0,0,2,0,2,2,0,2,0,0,1,1,1,0,1,2
1,0,0,1,1,2,2,0,1,1,2,1,0,0,1,0,0,0,1,1,0,2,2,2,0,1,1,0,2,2,2,1,2,2,2,0,2,1,2,0,1,1,0,0,2,1,0,0,1,0,2,1,0,1,0,2,1,2,2,0,2,2,0,1,1,0,0,0,1,1,1,2,2,0,2,1,1,2,2,0,1,0,2,1,2,2,0,0,2,0,1,1,0,2,0,1,1,1,2,2
2,2,0,2,0,0,0,1,2,0,0,2,1,1,1,1,2,1,2,1,1,0,0,2,1,0,0,2,2,0,0,2,1,0,0,1,2,1,1,1,2,2,1,2,0,0,2,2,2,1,0,2,1,1,0,2,0,1,0,1,1,0,2,1,0,1,0,2,2,1,2,0,2,1,2,2,1,0,2,1,1,2,1,0,1,0,1,0,0,2,1,0,2,0,2,2,0,2,0,0
2,0,0,2,2,1,1,0,0,1,1,1,1,0,2,2,2,2,0,0,2,1,1,1,2,1,0,0,2,0,0,0,0,0,0,2,1,2,2,0,1,0,2,2,2,2,1,2,1,2,1,0,1,0,2,1,1,0,1,2,1,0,1,1,0,2,2,2,0,0,0,2,0,2,0,1,0,1,2,2,0,0,2,1,0,1,2,1,1,1,2,0,1,2,2,0,2,0,2,1
0,2,1,0,0,0,1,1,1,2,2,2,2,2,0,0,1,2,2,0,0,1,1,1,0,1,2,1,0,0,0,2,2,1,2,0,1,0,1,2,0,0,2,0,2,2,1,2,1,1,1,0,0,1,0,2,1,0,2,2,0,1,0,2,1,0,0,1,0,1,2,2,1,0,1,2,0,1,1,1,1,0,1,2,1,2,1,2,0,0,2,2,2,1,2,2,2,2,2,0
0,2,1,0,1,2,2,0,2,0,0,0,2,2,1,1,1,0,0,2,2,2,1,2,1,2,1,0,1,0,2,0,0,1,0,1,1,0,0,0,2,2,2,1,1,1,2,1,2,0,2,0,0,0,2,1,2,1,1,0,2,2,2,2,0,1,1,2,1,0,1,2,0,2,0,0,1,0,1,0,0,1,2,1,0,0,1,2,2,1,1,0,2,1,1,0,1,1,0,0
1,0,1,1,0,0,0,2,1,1,1,0,0,1,2,2,0,1,2,0,2,2,2,0,2,2,2,1,1,1,0,0,2,1,1,2,0,0,0,1,2,0,0,0,0,1,2,2,2,1,0,2,1,1,2,1,0,2,2,2,0,2,1,0,2,2,0,0,2,1,0,0,1,1,2,1,2,1,1,2,2,2,0,1,2,1,0,2,1,2,0,1,1,0,0,1,0,0,1,2
1,1,1,1,2,1,1,1,2,0,2,2,2,1,1,2,0,0,2,2,0,0,0,0,1,1,0,0,0,2,1,1,1,0,2,2,1,0,0,2,0,2,1,1,2,0,1,0,0,2,0,1,2,0,1,0,1,2,1,1,0,0,1,2,2,1,2,0,2,2,0,1,2,1,2,1,1,2,0,0,0,0,2,0,0,2,0,1,1,2,0,0,0,1,2,1,0,2,0,1
2,2,1,2,1,1,2,2,0,2,2,0,0,0,2,1,0,1,1,2,1,1,2,1,2,0,0,0,0,2,2,2,0,1,1,2,0,1,2,1,0,1,0,1,1,0,0,0,0,1,2,1,1,2,1,2,0,1,0,0,2,1,0,1,0,2,2,1,0,0,0,1,0,1,1,2,2,2,2,2,1,2,1,2,1,0,2,1,2,0,1,2,0,0,1,0,0,0,2,2
2,2,1,2,2,2,1,2,1,2,0,2,1,0,0,0,2,0,2,1,2,0,1,2,0,1,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0,1,1,2,0,1,0,0,1,2,2,2,2,2,0,0,2,0,0,1,0,1,2,2,1,0,2,2,0,0,1,1,1,2,2,1,1,0,0,2,2,1,1,1,2,1,2,1,0,1,2,0,1,0,0,1,1,1,1,1
0,0,2,0,0,0,0,2,2,2,0,1,1,2,0,1,1,2,1,0,1,0,2,0,2,1,1,2,2,2,2,1,0,2,2,2,1,1,0,0,2,1,1,1,0,2,1,1,0,0,0,0,1,2,0,0,1,1,1,2,1,0,1,0,1,0,1,2,1,2,2,0,2,0,0,2,0,2,0,1,1,1,0,2,2,1,0,0,1,2,1,1,1,1,2,2,2,0,2,2
0,0,2,0,2,1,1,1,0,0,1,0,1,1,1,0,2,0,2,0,1,2,0,1,2,2,2,2,1,2,1,2,1,1,2,0,2,2,2,1,0,0,0,0,1,0,0,1,1,0,2,2,2,0,1,1,0,2,0,1,1,1,2,0,0,1,0,1,1,2,1,0,0,2,0,0,0,2,1,0,1,0,2,0,1,1,2,0,2,0,2,1,2,2,1,2,2,0,1,1
1,1,2,1,1,1,1,2,2,1,2,1,2,2,0,2,0,2,0,1,1,1,0,2,0,0,0,2,1,0,0,2,0,2,1,1,2,0,1,0,1,1,2,1,0,0,2,2,2,2,1,1,0,1,1,2,0,0,0,0,1,2,2,0,2,2,1,0,2,0,1,2,1,0,1,0,2,1,0,1,0,2,0,0,2,0,2,2,0,1,0,1,0,2,0,0,1,2,2,0
1,1,2,1,2,2,2,1,0,2,0,0,0,0,1,0,2,1,0,0,2,1,0,1,1,1,0,1,2,1,2,1,2,0,1,1,1,1,1,2,2,0,0,2,2,2,0,0,0,0,1,2,0,0,2,0,2,1,2,1,2,2,0,1,2,2,1,1,2,1,2,2,0,1,1,0,2,0,0,1,2,1,1,0,0,0,1,1,1,0,2,0,1,2,0,2,2,1,1,2
2,2,2,2,0,0,0,0,1,1,2,0,0,2,0,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,0,0,0,2,2,2,2,1,2,0,2,2,2,1,1,2,2,0,1,0,2,2,1,0,2,0,0,2,1,1,2,0,1,0,2,1,2,0,0,1,0,2,0,0,1,2,2,2,0,0,2,0,2,2,0,0,1,0,2,0,1,1,0,0,1,0,1
2,2,2,2,1,2,2,1,2,1,1,1,0,1,0,0,0,1,0,2,0,0,2,1,1,0,1,1,0,0,1,0,2,2,2,0,0,2,1,1,2,2,2,0,1,1,1,1,2,2,1,1,1,0,0,0,2,0,1,0,1,2,2,1,1,0,2,0,0,1,2,0,2,2,0,2,0,2,2,0,0,2,0,1,1,2,1,2,1,2,0,2,2,0,2,1,0,1,1,1
0,0,2,1,0,1,0,0,2,0,1,1,2,1,0,1,2,0,1,1,0,1,2,1,2,0,2,0,2,1,0,0,0,2,2,1,2,0,2,2,1,2,1,1,2,2,2,0,1,1,1,2,2,2,2,2,2,1,2,1,0,1,0,1,1,1,2,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,2,2,2,0,0,2,2,2,2,0,2,0,1,1,1,0,0,0
0,0,1,1,0,2,2,2,0,2,1,2,0,2,1,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,1,2,1,2,2,1,1,2,2,0,1,0,0,2,1,1,0,2,0,1,0,0,1,2,1,0,1,2,2,2,2,2,2,2,1,0,1,2,1,1,1,1,0,1,2,1,1,0,2,2,2,2,2,0,1,0,1,1,0,0,1,2,1,2,2,0,1,2,0,0
0,0,2,2,1,0,0,1,1,0,2,0,1,0,2,1,0,2,2,2,0,2,1,2,0,0,0,2,1,1,2,2,1,0,2,1,1,2,0,1,1,1,1,0,1,2,1,2,0,0,2,1,2,0,0,1,1,0,1,2,2,0,0,0,2,2,1,0,0,1,2,2,2,0,0,1,2,1,1,0,2,1,1,1,0,2,0,0,2,1,1,0,0,2,0,2,2,1,0,0
0,0,1,2,2,0,1,1,2,1,0,0,0,1,0,0,1,1,0,2,1,2,1,2,2,0,2,0,0,2,0,1,0,1,0,1,2,2,1,0,0,0,1,2,2,1,2,0,1,2,2,2,0,1,0,0,1,2,2,2,2,1,1,0,0,0,1,1,2,2,2,2,2,1,1,2,1,1,0,2,0,1,2,2,0,2,1,1,1,0,2,1,0,0,0,0,1,0,2,1
1,1,1,0,0,2,0,2,0,0,2,2,1,2,1,2,2,0,1,1,2,1,1,1,2,1,1,2,0,0,2,0,2,1,0,2,2,1,1,1,0,1,2,1,0,1,0,1,2,1,1,0,2,1,2,1,2,0,2,0,0,0,0,1,2,2,0,2,2,2,1,0,0,2,0,1,0,0,2,2,1,2,0,0,1,2,0,0,2,2,0,1,0,1,1,0,1,2,2,2
1,1,0,0,1,0,2,0,1,1,1,1,1,0,0,0,2,2,1,2,2,2,2,2,1,0,1,2,1,2,0,2,1,0,0,2,0,0,1,2,0,2,2,2,0,0,1,0,1,1,0,2,1,1,2,2,1,2,1,1,0,2,0,2,0,2,1,2,1,0,0,1,1,2,1,2,0,2,1,0,2,0,1,0,0,1,0,2,0,0,1,2,2,1,2,2,2,2,1,2
1,2,0,2,0,1,1,0,0,1,2,1,1,2,1,0,1,0,2,2,2,0,0,0,2,2,2,1,1,2,2,1,2,2,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,1,0,1,0,1,2,0,1,0,2,2,0,1,1,1,1,0,1,0,1,2,1,0,0,2,0,1,1,0,0,1,2,1,1,2,0,2,2,2,2,0,0,1,1,2,1,2,1,2,2
1,2,0,2,2,0,2,2,2,0,0,1,0,1,2,2,2,2,1,0,0,2,0,0,1,1,2,0,2,1,1,2,2,1,0,1,0,1,2,0,1,2,2,0,1,0,2,2,0,0,1,1,0,2,2,1,0,0,1,1,0,1,1,0,0,0,2,2,0,1,1,0,1,0,1,2,1,0,0,1,1,1,2,1,1,1,2,1,0,1,1,1,1,1,0,1,0,2,0,2
2,0,2,0,1,1,0,1,1,2,0,1,2,0,2,0,1,1,2,2,0,1,0,0,1,2,0,0,2,0,1,1,2,1,1,0,2,0,2,0,2,0,2,0,0,1,0,1,2,2,0,0,2,2,1,2,1,1,0,1,1,0,0,2,2,2,0,2,2,0,1,2,2,1,2,1,2,2,2,1,0,0,0,2,2,1,1,0,2,1,1,2,1,0,1,0,2,0,1,1
2,2,0,0,1,2,1,1,0,1,1,2,2,2,2,2,2,1,0,0,0,2,2,2,0,2,2,2,2,2,2,1,1,0,1,2,1,0,1,1,0,0,1,0,1,0,2,1,1,0,1,2,0,1,0,0,0,0,1,0,2,0,1,1,1,1,2,0,1,2,0,2,1,2,2,0,2,0,1,1,0,2,1,2,1,1,1,0,1,0,2,0,0,0,0,2,1,2,0,0
2,2,2,1,1,2,1,1,1,0,2,0,0,0,1,1,2,0,2,1,2,2,0,1,0,2,0,1,0,0,0,1,0,2,0,2,0,1,0,2,2,2,0,0,0,0,2,2,1,1,2,0,2,1,2,0,1,2,0,2,1,1,1,2,0,0,2,1,1,2,2,0,2,2,1,1,0,1,1,2,2,1,2,2,2,2,2,2,0,1,0,2,2,2,2,1,0,0,2,0
2,2,1,1,2,0,2,2,0,1,1,2,2,0,1,0,0,2,1,1,0,0,1,2,2,2,1,1,0,1,0,0,0,0,2,0,0,1,2,1,2,0,1,1,2,0,0,2,0,0,1,2,0,0,0,1,0,1,2,1,1,0,2,2,2,1,0,1,2,0,1,1,2,0,0,2,1,2,2,2,1,0,0,0,0,0,0,2,0,0,2,2,1,2,1,1,1,1,1,1
1,1,0,2,1,1,2,1,1,2,2,0,1,1,0,1,0,1,0,0,2,2,1,2,0,1,2,0,2,0,1,0,2,0,2,0,1,2,2,2,2,1,2,1,0,0,2,0,2,1,0,1,0,0,1,2,2,0,0,2,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,2,2,1,1,0,0,2,2,2,1,1,2,2,1,2,0,0,2,2,0,0,2
1,1,1,2,0,2,2,2,2,1,1,0,1,1,1,1,1,1,0,1,0,1,2,0,0,2,0,2,2,2,0,0,1,1,0,1,0,2,0,0,1,0,2,0,2,2,1,1,0,2,2,0,2,1,1,2,2,2,1,1,2,2,0,1,0,2,2,1,0,2,0,0,0,0,2,2,2,2,1,1,1,0,1,1,1,0,1,1,1,1,1,0,2,1,0,2,0,1,2,1
0,1,2,1,2,2,2,2,1,0,0,1,2,0,2,1,2,1,2,1,1,0,1,0,2,1,1,0,0,0,2,2,2,0,0,0,1,2,0,2,1,1,0,2,2,1,1,0,1,1,0,1,1,1,0,1,2,0,0,0,1,2,2,0,0,1,0,0,2,1,0,0,1,2,2,2,2,1,0,0,0,2,2,2,1,1,1,2,2,0,0,0,0,2,1,2,2,1,1,0
2,0,0,2,1,1,2,0,2,0,0,2,0,2,0,2,0,0,2,2,1,1,2,1,1,1,2,1,1,1,2,1,0,1,1,2,1,2,0,0,0,2,0,2,1,0,0,2,2,0,0,2,2,1,0,2,1,1,2,1,0,0,2,0,1,2,1,1,2,1,2,0,0,2,0,0,1,1,2,1,2,0,0,1,0,1,0,1,0,1,1,1,2,2,2,0,0,0,2,1
1,1,2,2,1,0,0,0,0,2,0,0,0,2,2,0,2,1,2,1,0,0,0,1,2,0,2,0,2,2,1,0,0,2,1,2,1,0,1,1,0,2,0,1,1,2,1,2,1,1,2,1,1,0,1,1,0,2,1,0,0,1,0,2,2,0,1,2,1,1,2,2,1,0,2,0,1,2,1,0,1,1,2,1,2,0,1,0,0,2,0,2,1,0,0,0,1,2,1,0
2,0,1,0,2,2,0,0,0,0,2,2,1,1,2,0,1,2,1,0,0,2,0,1,0,0,1,1,1,0,2,1,0,2,1,0,2,1,1,2,1,1,2,2,2,2,2,0,2,0,0,1,1,0,1,2,2,1,1,0,1,2,1,0,2,0,2,0,2,2,0,2,2,0,1,0,0,0,1,0,2,0,1,1,1,2,1,1,2,0,2,1,2,0,2,1,0,0,0,1
0,2,1,1,2,1,2,0,0,1,0,1,0,1,0,1,0,2,0,2,2,1,2,2,2,1,0,2,0,1,2,2,1,2,2,2,1,1,0,2,0,2,2,0,0,1,2,1,0,0,1,0,1,2,1,1,0,0,2,2,2,1,2,1,2,0,0,2,2,0,1,1,2,1,2,1,0,1,1,1,0,0,0,0,2,1,0,0,2,1,0,0,2,0,1,2,0,2,1,0
1,1,0,2,0,0,1,1,1,0,1,1,0,2,0,2,2,0,0,2,1,1,1,0,0,0,1,1,0,2,2,2,0,1,2,2,2,1,0,0,2,1,1,0,2,2,0,2,2,0,2,2,1,2,2,2,2,1,1,2,1,2,0,2,0,1,2,0,1,0,2,2,1,1,1,1,1,0,2,0,0,1,0,0,0,0,2,0,1,2,1,1,0,1,1,1,2,2,1,2
0,0,1,1,1,2,1,2,0,2,2,2,2,1,1,1,1,1,0,0,2,1,0,2,2,0,1,1,1,1,1,0,0,0,0,2,2,0,1,0,2,2,0,1,0,2,1,0,1,2,1,1,2,2,0,1,0,2,2,1,0,2,1,1,0,2,0,0,0,2,2,2,0,2,0,2,0,1,0,1,1,2,1,2,0,1,2,2,1,0,1,2,0,2,1,0,0,1,0,2
1,2,0,0,2,0,0,2,2,2,1,1,2,1,1,0,0,1,1,0,1,1,0,0,0,1,2,2,1,2,1,1,0,1,0,1,0,2,0,1,0,0,1,2,2,1,2,2,2,1,2,1,2,0,2,0,1,0,0,0,2,1,2,1,1,2,1,2,1,0,0,1,0,2,0,1,0,2,2,0,2,0,1,2,2,2,0,2,1,1,2,2,0,2,2,1,2,1,2,0
